,Unnamed: 0,Unnamed: 0.1,date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
0,12.0,12.0,2018-01-01,9,ALCOHOL,PIWO BOJAN  WIELKOP.0_5 L B/ZW,3.0,2.5,-0.42,-4.84,1,2,82.81
1,13.0,13.0,2018-01-01,9,ALCOHOL,PIWO BOJAN FAJRANT 0_5 L B/ZWR,7.0,1.61,-0.42,-4.84,1,2,82.81
2,14.0,14.0,2018-01-01,9,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1.0,3.02,-0.42,-4.84,1,2,82.81
3,15.0,15.0,2018-01-01,9,ALCOHOL,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,1.0,2.5,-0.42,-4.84,1,2,82.81
4,16.0,16.0,2018-01-01,9,ALCOHOL,PIWO BOJAN SZWEJK 0_5 L B/ZWROT,5.0,2.37,-0.42,-4.84,1,2,82.81
5,17.0,17.0,2018-01-01,9,ALCOHOL,PIWO BRACKIE 0_5 L B/ZWROT,12.0,1.35,-0.42,-4.84,1,2,82.81
6,18.0,18.0,2018-01-01,9,ALCOHOL,PIWO CIECHAN MIODOWE 0_5 L B/ZW,4.0,3.78,-0.42,-4.84,1,2,82.81
7,19.0,19.0,2018-01-01,9,ALCOHOL,PIWO DEBOWE MOCNE 0_5L BUTELKA,60.0,1.79,-0.42,-4.84,1,2,82.81
8,20.0,20.0,2018-01-01,9,ALCOHOL,PIWO DEBOWE MOCNE 0_5L PUSZKA,4.0,2.34,-0.42,-4.84,1,2,82.81
9,21.0,21.0,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 L,24.0,2.42,-0.42,-4.84,1,2,82.81
10,22.0,22.0,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 L 6%  B/BEZW,2.0,2.67,-0.42,-4.84,1,2,82.81
11,23.0,23.0,2018-01-01,9,ALCOHOL,PIWO DESPERADOS 0_4 NOCTURN 7%,3.0,2.93,-0.42,-4.84,1,2,82.81
12,24.0,24.0,2018-01-01,9,ALCOHOL,PIWO EB 0_5 L B/ZWR,2.0,1.7,-0.42,-4.84,1,2,82.81
13,25.0,25.0,2018-01-01,9,ALCOHOL,PIWO EB 0_5 L PUSZKA,8.0,2.05,-0.42,-4.84,1,2,82.81
14,26.0,26.0,2018-01-01,9,ALCOHOL,PIWO FOX 0_5 L PUSZKA MOCNE,61.0,1.26,-0.42,-4.84,1,2,82.81
15,27.0,27.0,2018-01-01,9,ALCOHOL,PIWO FOX 0_5L PUSZKA JASNE,1.0,1.07,-0.42,-4.84,1,2,82.81
16,28.0,28.0,2018-01-01,9,ALCOHOL,PIWO HARNAS 0_5L BUTELKA,1.0,1.23,-0.42,-4.84,1,2,82.81
17,29.0,29.0,2018-01-01,9,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,19.0,2.19578947368421,-0.42,-4.84,1,2,82.81
18,30.0,30.0,2018-01-01,9,ALCOHOL,PIWO KARMI 0_5L BUT /ZWROT,2.0,2.13,-0.42,-4.84,1,2,82.81
19,31.0,31.0,2018-01-01,9,ALCOHOL,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,2.0,2.43,-0.42,-4.84,1,2,82.81
20,32.0,32.0,2018-01-01,9,ALCOHOL,PIWO LECH LITE 0_33 BUT BEZ/ZW,1.0,1.55,-0.42,-4.84,1,2,82.81
21,33.0,33.0,2018-01-01,9,ALCOHOL,PIWO LECH LITE 0_33 PUSZKA,1.0,1.5,-0.42,-4.84,1,2,82.81
22,34.0,34.0,2018-01-01,9,ALCOHOL,PIWO LECH PILS 0_5L BUTELKA,76.0,1.75,-0.42,-4.84,1,2,82.81
23,35.0,35.0,2018-01-01,9,ALCOHOL,PIWO LECH PILS 0_5L PUSZKA,4.0,2.2,-0.42,-4.84,1,2,82.81
24,36.0,36.0,2018-01-01,9,ALCOHOL,PIWO LECH PREMIUM 0_5L  PUSZKA,32.0,1.92,-0.42,-4.84,1,2,82.81
25,37.0,37.0,2018-01-01,9,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,87.0,1.68,-0.42,-4.84,1,2,82.81
26,38.0,38.0,2018-01-01,9,ALCOHOL,PIWO LEZAJSK 0_5 L B/BEZW,3.0,1.55,-0.42,-4.84,1,2,82.81
