date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-05,11,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,376,0.45,15.965,15.42,2,0,73.23
2018-01-07,9,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,356,0.45,19.725,19.9,2,1,75.97
2018-01-06,9,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,349,0.45,17.065,17.1,2,1,72.3
2018-01-08,9,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,288,1.2396875,19.92,20.06,2,0,69.97
2018-01-04,10,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,254,0.45,12.08,10.37,1,1,72.47
2018-01-08,9,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,233,0.45,19.92,20.06,2,0,69.97
2018-01-08,9,DRINK_JUICE,WODA ZYWIEC 1_5L NIE/GAZ,188,1.22712765957447,19.92,20.06,2,0,69.97
2018-01-07,9,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,186,1.27935483870968,19.725,19.9,2,1,75.97
2018-01-06,9,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,162,1.31,17.065,17.1,2,1,72.3
2018-01-09,10,DRINK_JUICE,ORANZADA W BUT.ZWROTNEJ,144,0.45,15.835,14.73,2,1,69.23
2018-01-05,11,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,140,1.2485,15.965,15.42,2,0,73.23
2018-01-10,8,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,140,1.27,10.71,8.19,1,1,71.65
2018-01-04,10,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,133,1.6384962406015,12.08,10.37,1,1,72.47
2018-01-09,10,DRINK_JUICE,WODA MUSZYNIANKA PLUS 1_5L N/G,133,1.26,15.835,14.73,2,1,69.23
