date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-01,9,DAIRY_CHESSE,ALMETTE CZOSNEK NIEDZWIEDZI 150GR,4,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE JOGURTOWY 150G HOCHLAND,4,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE OGOREK/ZIOLA 150G,4,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE SER POMIDOR 150 G,5,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE SZCZYPIOREK CEBULA 150G,4,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE Z CHRZANEM,6,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,ALMETTE ZIOLOWY 150G SEREK,4,2.68,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA 7 ZBOZ SLIWKA 150GR,6,1.39,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI TRUSKAW.,3,1.57,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI WANIL.,3,1.57,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA GRECKI 180GR,9,1.63,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA OLEJ RZEPAKOWY,9,4.44,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA POLSKIE SMAKI  WISNIA 120 G,5,0.6,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA POLSKIE SMAKI130GR TRUSK,8,0.76,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA PREMIUM 150 G BRZOS+MARAKUJ,6,1.43,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA SATINA  KARMEL 170 G,7,1.18,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA SATINA CZEKOL.170 G,13,1.18,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA SATINA WANILIA 170 G,3,1.18,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA SEREK BAKUS WANILIA,8,1.18,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA SMIETANKA 10 SZT,5,1.48,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA TWIST  400G BRZOS,2,2.31,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BAKOMA TWIST 250 G TRUSKAWKA,6,1.72,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BATON FITELLA 25 G,3,1.07,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,BATON KINDER MAXI KING Z KARMELEM 35G,9,1.69,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,CHRUPKI KUKURYDZIANE  60 G,27,1.23777777777778,-0.42,-4.84,1,2,82.81
2018-01-01,9,DAIRY_CHESSE,DA ACTIMEL  1 SZT,6,0.94,-0.42,-4.84,1,2,82.81
