date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-01,9,CHEWING_GUM_LOLIPOPS,DROPS HALLS MENTOL LUPTUS,12,1.35,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA AIRWAVES PORZECZKA DRAZE,9,1.44,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ARBUZ,24,0.27,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA FOOTBALL EURO/TURBO,3,0.13,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA MAMBA,27,0.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT APPLE DRAZE,3,1.03,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT BAG PEPPERMINT,4,2.25,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT BAG SPEARMINT,3,2.25,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT BAG WINTERFRESH,1,2.1,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT BUBLEMINT DRAZE,2,1.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT PEPERMINT DRAZE,6,1.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT SPERMINT DRAZE,7,1.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT SPIRMINT DRAZE,23,1.40347826086957,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT STRAWBERRY DRAZE,5,1.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT WHIT TOREBKA 25 FRESH,1,2.09,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA ORBIT WHITE DRAZE,1,1.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA WINTERFRESH DRAZE,17,1.44,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA WRIGLEYS FRUIT 5 LISTKOW,1,0.92,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,GUMA Z TATUAZEM,1,0.13,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,LIZAK CANDY/LASKA,4,0.64,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,LIZAK CHUPA CHUPS,34,0.46,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,LIZAK KWIATEK/MALY/KULKA,11,0.22,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,LIZAK KWIATET DUZY,7,0.49,-0.42,-4.84,1,2,82.81
2018-01-01,9,CHEWING_GUM_LOLIPOPS,LIZAK PALUSZEK OWOC,1,0.21,-0.42,-4.84,1,2,82.81
