date,ishol/week,group,name,quantity,unit_cogs,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity
2018-01-01,9,VEGETABLES,AMINO BLYSK  ZUREK,6,0.82,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,DR POLEWA MLECZNA TWARDA,1,1.94,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT ANANAS,2,4.64,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT BANAN,119.64,4.06728518890003,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT BROKUL,16,3.3125,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT BURACZEK CZERWONY,6.96,0.658045977011494,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT CEBUL CZERWONNA MODRA,0.95,2.09473684210526,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT CEBULA,89.25,0.591484593837535,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT CUKINIA KG,1.13,5.14159292035398,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT CYTRYNA,41.66,5.11137782045127,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT CZOSNEK POLSKI,53,0.92,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT DYNIA KG,1,2.48,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT GRAPEFRUIT ZELONY KG,0.27,5.11111111111111,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT GREJFRUT,1.1,4.16363636363636,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT GRUSZKI KG,50.57,3.70555665414277,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT IMBIR KG,0.4,14.575,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT JABLKO CZERWONE,314.32,2.39924280987529,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KALAFIOR,25,4.518,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KAPUSTA BIALA KG,69.16,0.439705031810295,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KAPUSTA CZERWONA KG,4.2,0.869047619047619,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KAPUSTA PEKINSKA KG,14.25,1.51859649122807,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KAPUSTA WLOSKA,2.03,1.85221674876847,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KIWI,73,0.612328767123288,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT KOPEREK ZIELONY CI?TY,45,1.35577777777778,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT MANDARYNKA LUZ,92.46,3.91001514168289,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT MARCHEW LUZ,140.51,0.784072308020782,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT OGOREK ZIELONY,18.69,5.88336008560728,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT ORZECH FISTASZKI LUZ,2.06,11.5388349514563,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT PAPRYKA CZERWONA/ZOLTA,16.51,7.47728649303452,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT PIECZARKI,30.76,5.48537061118335,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT PIETRUSZKA LUZ KORZE?,39.85,2.47252195734002,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT PIETRUSZKA ZIELONA NATKA,92,0.961304347826087,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMARANCZA LUZ,43.79,3.8141128111441,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMELO SZT,6,3,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMIDOR KOKTAILOWY 250 G,4,2.97,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMIDOR MALINOWY,13.85,6.45126353790614,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMIDOR POLSKI POLNY,69.87,5.52654930585373,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POMIDORY KOKTAILOWE KUBEK,1,2.97,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT POR KG,16.59,2.03978300180832,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT SALATA,2,1.73,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT SALATA LODOWA,12,3.49083333333333,-0.42,-4.84,1,2,82.81
2018-01-01,9,VEGETABLES,KT SELER LUZ,36.61,1.9221524173723,-0.42,-4.84,1,2,82.81
