date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-02-01,5,2,0.0,5.2,1,1,88,06:44 PM,08:54 AM,08:22 AM,05:22 PM,2,0,3,0,22,95,89,0.5,1001,5,9,230,14
2018-02-02,3,-1,0.0,8.7,2,2,81,08:05 PM,09:26 AM,08:21 AM,05:24 PM,-1,-2,1,-2,13,25,85,0.0,1006,3,10,222,8
2018-02-03,2,-1,0.1,5.2,1,1,73,09:24 PM,09:52 AM,08:19 AM,05:26 PM,-2,-3,0,-3,14,63,84,0.2,1006,2,9,147,9
2018-02-04,0,-2,0.0,5.2,2,2,66,10:39 PM,10:16 AM,08:17 AM,05:28 PM,-5,-5,-1,-5,18,74,76,0.0,1016,0,10,75,12
2018-02-05,-2,-5,0.0,5.2,2,2,58,11:52 PM,10:38 AM,08:15 AM,05:30 PM,-10,-9,-4,-9,20,73,60,0.0,1025,-2,10,171,14
2018-02-06,-2,-5,0.1,6.9,2,2,51,No moonrise,11:00 AM,08:14 AM,05:32 PM,-9,-9,-4,-9,21,46,67,0.1,1020,-2,9,253,14
2018-02-07,-2,-6,0.0,8.7,2,2,43,01:02 AM,11:24 AM,08:12 AM,05:34 PM,-10,-8,-4,-8,16,19,64,0.0,1020,-2,10,121,10
2018-02-08,-1,-5,0.0,8.7,2,2,36,02:09 AM,11:50 AM,08:10 AM,05:36 PM,-6,-8,-4,-8,16,36,83,0.0,1019,-1,10,27,10
2018-02-09,-2,-6,0.0,8.7,2,2,28,03:14 AM,12:19 PM,08:08 AM,05:38 PM,-8,-8,-4,-8,13,22,76,0.0,1020,-2,10,50,8
2018-02-10,-3,-6,0.0,7.0,2,2,20,04:15 AM,12:54 PM,08:06 AM,05:40 PM,-6,-5,-4,-5,7,59,83,0.0,1019,-3,10,149,5
2018-02-11,-1,-4,0.0,3.5,1,1,13,05:11 AM,01:36 PM,08:04 AM,05:42 PM,-5,-7,-2,-7,20,88,79,0.0,1011,-1,10,179,14
2018-02-12,1,-2,0.2,3.5,1,1,5,06:01 AM,02:23 PM,08:02 AM,05:44 PM,-2,-5,-1,-5,18,95,88,0.3,1010,1,9,196,12
2018-02-13,2,-2,0.0,3.5,1,1,0,06:44 AM,03:18 PM,08:00 AM,05:46 PM,-3,-2,-0,-2,11,70,83,0.0,1017,2,10,199,6
2018-02-14,1,-2,0.0,3.7,1,1,0,07:21 AM,04:18 PM,07:59 AM,05:48 PM,-3,-4,-1,-4,15,97,86,0.0,1021,1,10,55,10
2018-02-15,-2,-4,0.0,8.7,2,2,0,07:53 AM,05:23 PM,07:57 AM,05:50 PM,-6,-6,-3,-6,15,72,80,0.0,1025,-2,10,126,10
2018-02-16,1,-3,0.2,3.7,1,1,2,08:19 AM,06:30 PM,07:55 AM,05:52 PM,-3,-6,-1,-6,23,74,86,0.3,1021,1,9,212,15
2018-02-17,2,-1,0.0,3.8,1,1,10,08:43 AM,07:40 PM,07:53 AM,05:54 PM,-2,-4,0,-4,24,84,89,0.0,1022,2,10,278,16
2018-02-18,1,-3,0.0,3.8,1,1,17,09:06 AM,08:51 PM,07:50 AM,05:55 PM,-4,-4,-1,-4,15,74,82,0.1,1026,1,9,316,10
2018-02-19,1,-1,0.3,5.4,1,1,25,09:27 AM,10:02 PM,07:48 AM,05:57 PM,-4,-2,-0,-2,10,77,77,0.3,1026,1,9,221,7
2018-02-20,2,-2,0.0,7.1,2,2,32,09:49 AM,11:16 PM,07:46 AM,05:59 PM,-5,-4,-0,-4,16,43,73,0.0,1024,2,10,87,11
2018-02-21,-1,-3,0.0,10.6,2,2,40,10:12 AM,No moonset,07:44 AM,06:01 PM,-8,-6,-2,-6,17,34,66,0.0,1025,-1,10,41,12
2018-02-22,-4,-7,0.0,10.0,2,2,47,10:39 AM,12:30 AM,07:42 AM,06:03 PM,-12,-10,-5,-10,15,59,61,0.0,1027,-4,10,65,11
2018-02-23,-4,-8,0.0,10.7,2,2,55,11:12 AM,01:46 AM,07:40 AM,06:05 PM,-14,-10,-6,-10,13,34,56,0.0,1026,-4,10,105,10
2018-02-24,-5,-10,0.1,10.7,2,2,62,11:52 AM,02:59 AM,07:38 AM,06:07 PM,-13,-14,-7,-14,29,59,62,0.1,1027,-5,10,109,22
2018-02-25,-8,-12,0.0,6.9,1,1,70,12:42 PM,04:09 AM,07:35 AM,06:09 PM,-14,-16,-10,-16,16,69,73,0.0,1032,-8,10,31,11
2018-02-26,-9,-14,0.0,6.9,1,1,77,01:44 PM,05:11 AM,07:33 AM,06:11 PM,-16,-17,-12,-17,13,82,72,0.0,1029,-9,10,45,10
2018-02-27,-9,-14,0.0,5.4,1,1,85,02:55 PM,06:04 AM,07:31 AM,06:12 PM,-15,-19,-12,-19,22,77,75,0.0,1027,-9,10,70,16
2018-02-28,-9,-14,0.0,5.4,1,1,93,04:13 PM,06:47 AM,07:29 AM,06:14 PM,-16,-20,-12,-20,26,92,74,0.0,1030,-9,10,54,19
2018-02-01,5,2,0.0,5.2,1,1,88,06:44 PM,08:54 AM,08:22 AM,05:22 PM,2,0,3,0,22,95,89,0.5,1001,5,9,230,14
2018-02-02,3,-1,0.0,8.7,2,2,81,08:05 PM,09:26 AM,08:21 AM,05:24 PM,-1,-2,1,-2,13,25,85,0.0,1006,3,10,222,8
2018-02-03,2,-1,0.1,5.2,1,1,73,09:24 PM,09:52 AM,08:19 AM,05:26 PM,-2,-3,0,-3,14,63,84,0.2,1006,2,9,147,9
2018-02-04,0,-2,0.0,5.2,2,2,66,10:39 PM,10:16 AM,08:17 AM,05:28 PM,-5,-5,-1,-5,18,74,76,0.0,1016,0,10,75,12
2018-02-05,-2,-5,0.0,5.2,2,2,58,11:52 PM,10:38 AM,08:15 AM,05:30 PM,-10,-9,-4,-9,20,73,60,0.0,1025,-2,10,171,14
2018-02-06,-2,-5,0.1,6.9,2,2,51,No moonrise,11:00 AM,08:14 AM,05:32 PM,-9,-9,-4,-9,21,46,67,0.1,1020,-2,9,253,14
2018-02-07,-2,-6,0.0,8.7,2,2,43,01:02 AM,11:24 AM,08:12 AM,05:34 PM,-10,-8,-4,-8,16,19,64,0.0,1020,-2,10,121,10
2018-02-08,-1,-5,0.0,8.7,2,2,36,02:09 AM,11:50 AM,08:10 AM,05:36 PM,-6,-8,-4,-8,16,36,83,0.0,1019,-1,10,27,10
2018-02-09,-2,-6,0.0,8.7,2,2,28,03:14 AM,12:19 PM,08:08 AM,05:38 PM,-8,-8,-4,-8,13,22,76,0.0,1020,-2,10,50,8
2018-02-10,-3,-6,0.0,7.0,2,2,20,04:15 AM,12:54 PM,08:06 AM,05:40 PM,-6,-5,-4,-5,7,59,83,0.0,1019,-3,10,149,5
2018-02-11,-1,-4,0.0,3.5,1,1,13,05:11 AM,01:36 PM,08:04 AM,05:42 PM,-5,-7,-2,-7,20,88,79,0.0,1011,-1,10,179,14
2018-02-12,1,-2,0.2,3.5,1,1,5,06:01 AM,02:23 PM,08:02 AM,05:44 PM,-2,-5,-1,-5,18,95,88,0.3,1010,1,9,196,12
2018-02-13,2,-2,0.0,3.5,1,1,0,06:44 AM,03:18 PM,08:00 AM,05:46 PM,-3,-2,-0,-2,11,70,83,0.0,1017,2,10,199,6
2018-02-14,1,-2,0.0,3.7,1,1,0,07:21 AM,04:18 PM,07:59 AM,05:48 PM,-3,-4,-1,-4,15,97,86,0.0,1021,1,10,55,10
2018-02-15,-2,-4,0.0,8.7,2,2,0,07:53 AM,05:23 PM,07:57 AM,05:50 PM,-6,-6,-3,-6,15,72,80,0.0,1025,-2,10,126,10
2018-02-16,1,-3,0.2,3.7,1,1,2,08:19 AM,06:30 PM,07:55 AM,05:52 PM,-3,-6,-1,-6,23,74,86,0.3,1021,1,9,212,15
2018-02-17,2,-1,0.0,3.8,1,1,10,08:43 AM,07:40 PM,07:53 AM,05:54 PM,-2,-4,0,-4,24,84,89,0.0,1022,2,10,278,16
2018-02-18,1,-3,0.0,3.8,1,1,17,09:06 AM,08:51 PM,07:50 AM,05:55 PM,-4,-4,-1,-4,15,74,82,0.1,1026,1,9,316,10
2018-02-19,1,-1,0.3,5.4,1,1,25,09:27 AM,10:02 PM,07:48 AM,05:57 PM,-4,-2,-0,-2,10,77,77,0.3,1026,1,9,221,7
2018-02-20,2,-2,0.0,7.1,2,2,32,09:49 AM,11:16 PM,07:46 AM,05:59 PM,-5,-4,-0,-4,16,43,73,0.0,1024,2,10,87,11
2018-02-21,-1,-3,0.0,10.6,2,2,40,10:12 AM,No moonset,07:44 AM,06:01 PM,-8,-6,-2,-6,17,34,66,0.0,1025,-1,10,41,12
2018-02-22,-4,-7,0.0,10.0,2,2,47,10:39 AM,12:30 AM,07:42 AM,06:03 PM,-12,-10,-5,-10,15,59,61,0.0,1027,-4,10,65,11
2018-02-23,-4,-8,0.0,10.7,2,2,55,11:12 AM,01:46 AM,07:40 AM,06:05 PM,-14,-10,-6,-10,13,34,56,0.0,1026,-4,10,105,10
2018-02-24,-5,-10,0.1,10.7,2,2,62,11:52 AM,02:59 AM,07:38 AM,06:07 PM,-13,-14,-7,-14,29,59,62,0.1,1027,-5,10,109,22
2018-02-25,-8,-12,0.0,6.9,1,1,70,12:42 PM,04:09 AM,07:35 AM,06:09 PM,-14,-16,-10,-16,16,69,73,0.0,1032,-8,10,31,11
2018-02-26,-9,-14,0.0,6.9,1,1,77,01:44 PM,05:11 AM,07:33 AM,06:11 PM,-16,-17,-12,-17,13,82,72,0.0,1029,-9,10,45,10
2018-02-27,-9,-14,0.0,5.4,1,1,85,02:55 PM,06:04 AM,07:31 AM,06:12 PM,-15,-19,-12,-19,22,77,75,0.0,1027,-9,10,70,16
2018-02-28,-9,-14,0.0,5.4,1,1,93,04:13 PM,06:47 AM,07:29 AM,06:14 PM,-16,-20,-12,-20,26,92,74,0.0,1030,-9,10,54,19
