date,monthly_Avgtemp,monthly_avg_FeelsLikeC,monthly_avg_HeatIndexC,monthly_avg_cloudcover,monthly_avg_humidity,ishol/week
2018-01-01,-0.41999999999999993,-4.84,1,2,82.81,9
2018-01-02,-3.29,-7.61,0,2,76.04,8
2018-01-03,0.16500000000000004,-4.03,1,2,73.23,9
2018-01-04,12.08,10.37,1,1,72.47,10
2018-01-05,15.965,15.42,2,0,73.23,11
2018-01-06,17.065,17.1,2,1,72.3,9
2018-01-07,19.725,19.9,2,1,75.97,9
2018-01-08,19.92,20.06,2,0,69.97,9
2018-01-09,15.835,14.73,2,1,69.23,10
2018-01-10,10.709999999999999,8.19,1,1,71.65,8
2018-01-11,3.9699999999999998,0.77,1,1,80.6,9
2018-01-12,0.37,-3.61,1,3,88.58,12
