,date,sku,group,name,quantity,unit_cogs,agg_cogs,unit_revenue,gross_margin,sunrise,sunset,HeatIndexC,cloudcover,humidity,tempC,Avgtemp
0,2018-01-01,5307,CHEMISTRY, PATYCZKI BELLA 200,1.0,"1,77",1.77,2.57,31.13,08:52 AM,04:31 PM,6,79,89,8,5.5
1,2018-01-01,5986,CHEMISTRY,ACE 1 L,1.0,"3,2",3.2,5.68,43.66,08:52 AM,04:31 PM,6,79,89,8,5.5
2,2018-01-01,399,DAIRY_CHESSE,ALMETTE CZOSNEK NIEDZWIEDZI 150GR,4.0,"2,68",10.72,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
3,2018-01-01,2246,DAIRY_CHESSE,ALMETTE JOGURTOWY 150G HOCHLAND,4.0,"2,68",10.72,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
4,2018-01-01,2247,DAIRY_CHESSE,ALMETTE OGOREK/ZIOLA 150G,4.0,"2,68",10.72,2.85,5.96,08:52 AM,04:31 PM,6,79,89,8,5.5
5,2018-01-01,1305,DAIRY_CHESSE,ALMETTE SER POMIDOR 150 G,5.0,"2,68",13.4,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
6,2018-01-01,1142,DAIRY_CHESSE,ALMETTE SZCZYPIOREK CEBULA 150G,4.0,"2,68",10.72,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
7,2018-01-01,17316,GENERAL_FOOD,ALMETTE SZPINAK 150 G,6.0,"2,68",16.08,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
8,2018-01-01,3818,DAIRY_CHESSE,ALMETTE Z CHRZANEM,6.0,"2,68",16.08,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
9,2018-01-01,1143,DAIRY_CHESSE,ALMETTE ZIOLOWY 150G SEREK,4.0,"2,68",10.72,3.8,29.47,08:52 AM,04:31 PM,6,79,89,8,5.5
10,2018-01-01,7695,SWEETS,AMELIA PIANKA 380 G SMIET.CZEK,2.0,"4,18",8.36,6.7,37.61,08:52 AM,04:31 PM,6,79,89,8,5.5
11,2018-01-01,8404,VEGETABLES,AMINO BLYSK  ZUREK,6.0,"0,82",4.92,1.51,45.7,08:52 AM,04:31 PM,6,79,89,8,5.5
12,2018-01-01,3067,GENERAL_FOOD,AMINO BLYSK GULASZOWA 61G,1.0,"0,82",0.82,1.51,45.7,08:52 AM,04:31 PM,6,79,89,8,5.5
13,2018-01-01,17427,OILS,AMINO BLYSK OGORKOWA,2.0,"0,92",1.84,1.51,39.07,08:52 AM,04:31 PM,6,79,89,8,5.5
14,2018-01-01,5663,GENERAL_FOOD,AMINO BLYSK. ROSOL Z KURY PIKANTNY,9.0,"0,82",7.38,1.51,45.7,08:52 AM,04:31 PM,6,79,89,8,5.5
15,2018-01-01,782,GENERAL_FOOD,AMINO BLYSK.POMIDOROWA,25.0,"0,92",23.0,1.51,39.07,08:52 AM,04:31 PM,6,79,89,8,5.5
16,2018-01-01,16572,GENERAL_FOOD,AMINO B?YSK_PIECZARKOWA,6.0,"0,82",4.92,1.39,40.79,08:52 AM,04:31 PM,6,79,89,8,5.5
17,2018-01-01,2269,GENERAL_FOOD,AMINO SOS BOLONSKI 43G,6.0,"1,13",6.78,1.66,31.93,08:52 AM,04:31 PM,6,79,89,8,5.5
18,2018-01-01,199,GENERAL_FOOD,AMINO SOS PIECZENIOWY CIEMNY 38GR,11.0,"0,99",10.89,1.66,40.36,08:52 AM,04:31 PM,6,79,89,8,5.5
19,2018-01-01,86,GENERAL_FOOD,ANANAS PLASTRY 580 G GIANA,2.0,"3,48",6.96,4.98,30.12,08:52 AM,04:31 PM,6,79,89,8,5.5
20,2018-01-01,5633,SWEETS,ANDRUTY   FURMANIAK,97.0,"0,7",67.84,0.89,21.56,08:52 AM,04:31 PM,6,79,89,8,5.5
21,2018-01-01,6605,SWEETS,ANIMALS MODEL,1.0,"5,68",5.68,7.29,22.09,08:52 AM,04:31 PM,6,79,89,8,5.5
