date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01,9,4,0.0,3.0,2,2,97,04:17 PM,07:34 AM,08:45 AM,04:34 PM,5,3,7,3,29,64,87,0.2,1004,9,10,223,16
2018-01-02,4,1,0.0,7.9,2,2,100,05:22 PM,08:40 AM,08:45 AM,04:35 PM,1,-0,3,-0,17,29,88,0.0,1008,4,10,188,10
2018-01-03,4,1,0.0,7.9,2,2,89,06:36 PM,09:36 AM,08:45 AM,04:36 PM,0,-1,3,-1,25,76,85,0.1,1000,4,8,201,17
2018-01-04,6,3,0.0,3.0,1,1,81,07:55 PM,10:19 AM,08:45 AM,04:37 PM,2,1,5,1,30,87,79,0.0,997,6,10,216,19
2018-01-05,8,3,0.0,3.0,2,2,74,09:14 PM,10:54 AM,08:44 AM,04:38 PM,2,2,6,2,33,89,77,0.1,999,8,10,211,21
2018-01-06,8,3,0.0,6.8,3,3,67,10:31 PM,11:24 AM,08:44 AM,04:40 PM,4,3,5,3,18,52,90,0.0,1009,8,9,243,10
2018-01-07,4,-1,0.1,4.9,2,2,59,11:45 PM,11:48 AM,08:44 AM,04:41 PM,-2,-1,2,-1,17,58,75,0.1,1026,4,7,136,11
2018-01-08,1,-2,0.0,8.0,2,2,52,No moonrise,12:11 PM,08:43 AM,04:42 PM,-7,-0,1,-0,6,0,54,0.0,1036,1,10,162,5
2018-01-09,2,-3,0.0,8.0,2,2,45,12:56 AM,12:33 PM,08:43 AM,04:44 PM,-7,-4,-0,-4,23,12,62,0.0,1034,2,10,122,14
2018-01-10,2,-1,0.0,8.0,2,2,38,02:04 AM,12:55 PM,08:42 AM,04:45 PM,-8,-4,1,-4,28,38,54,0.0,1020,2,10,115,18
2018-01-11,1,-2,0.0,4.9,1,1,30,03:11 AM,01:20 PM,08:41 AM,04:47 PM,-4,-5,-0,-5,21,69,76,0.0,1020,1,10,91,14
2018-01-12,-1,-3,0.0,8.1,2,2,23,04:16 AM,01:47 PM,08:41 AM,04:48 PM,-6,-7,-2,-7,22,31,72,0.0,1032,-1,10,82,15
2018-01-13,-1,-4,0.0,8.1,2,2,16,05:18 AM,02:19 PM,08:40 AM,04:50 PM,-8,-8,-3,-8,25,27,64,0.0,1038,-1,10,101,17
2018-01-14,-5,-7,0.0,8.1,2,2,9,06:16 AM,02:56 PM,08:39 AM,04:51 PM,-12,-11,-6,-11,21,7,61,0.0,1036,-5,10,110,15
2018-01-15,-5,-8,0.0,8.2,2,2,1,07:10 AM,03:41 PM,08:38 AM,04:53 PM,-15,-13,-7,-13,24,1,53,0.0,1028,-5,10,141,17
2018-01-16,-2,-6,1.2,4.9,1,1,0,07:58 AM,04:31 PM,08:37 AM,04:54 PM,-10,-11,-4,-11,38,51,64,1.4,1004,-2,9,154,26
2018-01-17,1,-2,0.1,3.1,1,1,0,08:39 AM,05:28 PM,08:36 AM,04:56 PM,-2,-5,-1,-5,28,98,90,1.4,993,1,7,243,18
2018-01-18,1,-2,1.3,5.0,1,1,6,09:15 AM,06:28 PM,08:35 AM,04:58 PM,-1,-5,0,-5,29,90,89,1.5,999,1,8,215,19
2018-01-19,1,-0,1.3,3.1,1,1,13,09:45 AM,07:33 PM,08:34 AM,04:59 PM,-1,-5,0,-5,34,100,90,2.6,999,1,7,278,23
2018-01-20,0,-3,0.5,3.3,1,1,20,10:11 AM,08:39 PM,08:33 AM,05:01 PM,-2,-4,-1,-4,13,100,95,0.6,1009,0,4,221,8
2018-01-21,-0,-4,0.2,3.3,1,1,28,10:34 AM,09:48 PM,08:32 AM,05:03 PM,-3,-5,-2,-5,12,96,94,0.2,1012,-0,6,71,8
